1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (when applicable),GE RUNOFF ELECTION % (when applicable),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %
2140,MO,Missouri,03,n/a,,,,,District Votes:,,131820,,,,277597,,,,,,,,,,,,,,
2141,MO,Missouri,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,,,,,,,
2142,MO,Missouri,04,H2MO04207,,Mark ,Alford,"Alford, Mark ",,R,36981,35.1841456801165%,,,181890,71.3073204771855%,,,,,W,W,,,,,,,
2143,MO,Missouri,04,H2MO04199,,Rick ,Brattin,"Brattin, Rick ",,R,22509,21.4153196266662%,,,,,,,,,,,,,,,,,
2144,MO,Missouri,04,H2MO04173,,Kalena,Bruce,"Bruce, Kalena",,R,16677,15.8666882319922%,,,,,,,,,,,,,,,,,
2145,MO,Missouri,04,H2MO04140,,Taylor ,Burks,"Burks, Taylor ",,R,10624,10.1077949137546%,,,,,,,,,,,,,,,,,
2146,MO,Missouri,04,H2MO04223,,William (Bill),Irwin,"Irwin, William (Bill)",,R,9648,9.17921736896686%,,,,,,,,,,,,,,,,,
2147,MO,Missouri,04,H2MO04231,,Jim (Soupy),Campbell,"Campbell, Jim (Soupy)",,R,4642,4.41645180625458%,,,,,,,,,,,,,,,,,
2148,MO,Missouri,04,H2MO04215,,Kyle Stonner,LaBrue,"LaBrue, Kyle Stonner",,R,4026,3.83038237224923%,,,,,,,,,,,,,,,,,
2149,MO,Missouri,04,n/a,,,,,Party Votes:,R,105107,,,,,,,,,,,,,,,,,,
2150,MO,Missouri,04,H6MO07169,,Jack ,Truman,"Truman, Jack ",,D,25641,100%,,,67069,26.2934228219493%,,,,,W,,,,,,,,
2151,MO,Missouri,04,n/a,,,,,Party Votes:,D,25641,,,,,,,,,,,,,,,,,,
2152,MO,Missouri,04,H6MO05197,,Randy,Langkraehr,"Langkraehr, Randy",,LIB,426,100%,,,6117,2.39808059463931%,,,,,W,,,,,,,,
2153,MO,Missouri,04,n/a,,,,,Party Votes:,LIB,426,,,,,,,,,,,,,,,,,,
2154,MO,Missouri,04,n/a,,David A.,Haave,"Haave, David A.",,W,,,,,1,0.000392035408638108%,,,,,,,,,,,,,
2155,MO,Missouri,04,n/a,,Darrell,McClanahan,"McClanahan, Darrell",,W,,,,,1,0.000392035408638108%,,,,,,,,,,,,,
2156,MO,Missouri,04,H2MO04249,,Wyatt,Parsons,"Parsons, Wyatt",,W,,,,,1,0.000392035408638108%,,,,,,,,,,,,,
2157,MO,Missouri,04,n/a,,,,,District Votes:,,131174,,,,255079,,,,,,,,,,,,,,
2158,MO,Missouri,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,,,,,,,
2159,MO,Missouri,05,H4MO05234,(I),Emanuel,"Cleaver, II","Cleaver, Emanuel, II",,D,60399,85.6164771921867%,,,140688,61.0214482444536%,,,,,W,W,,,,,,,
2160,MO,Missouri,05,H0MO05182,,Maite ,Salazar,"Salazar, Maite ",,D,10147,14.3835228078133%,,,,,,,,,,,,,,,,,
2161,MO,Missouri,05,n/a,,,,,Party Votes:,D,70546,,,,,,,,,,,,,,,,,,
2162,MO,Missouri,05,H6MO05189,,Jacob,Turk,"Turk, Jacob",,R,20475,51.7646761389493%,,,84008,36.4372926199822%,,,,,W,,,,,,,,
2163,MO,Missouri,05,H0MO05216,,Jerry W,Barham,"Barham, Jerry W",,R,13246,33.4883956110634%,,,,,,,,,,,,,,,,,
2164,MO,Missouri,05,H2MO04116,,Herschel L. ,Young,"Young, Herschel L. ",,R,5833,14.7469282499874%,,,,,,,,,,,,,,,,,
2165,MO,Missouri,05,n/a,,,,,Party Votes:,R,39554,,,,,,,,,,,,,,,,,,
2166,MO,Missouri,05,H0MO05240,,Robin ,Dominick,"Dominick, Robin ",,LIB,589,100%,,,5859,2.54125913556418%,,,,,W,,,,,,,,
2167,MO,Missouri,05,n/a,,,,,Party Votes:,LIB,589,,,,,,,,,,,,,,,,,,
2168,MO,Missouri,05,n/a,,,,,District Votes:,,110689,,,,230555,,,,,,,,,,,,,,
2169,MO,Missouri,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,,,,,,,
2170,MO,Missouri,06,H0MO06073,(I),Sam,Graves,"Graves, Sam",,R,72996,75.6678311167318%,,,184865,70.3197510764877%,,,,,W,W,,,,,,,
2171,MO,Missouri,06,H0MO06164,,Christopher,Ryan,"Ryan, Christopher",,R,7848,8.13525588531031%,,,,,,,,,,,,,,,,,
2172,MO,Missouri,06,H2MO06251,,Brandon,Kleinmeyer,"Kleinmeyer, Brandon",,R,7414,7.68537042987903%,,,,,,,,,,,,,,,,,
2173,MO,Missouri,06,H2MO06236,,Dakota,Shultz,"Shultz, Dakota",,R,5902,6.11802755289264%,,,,,,,,,,,,,,,,,
2174,MO,Missouri,06,H0MO06115,,John,Dady,"Dady, John",,R,2309,2.39351501518623%,,,,,,,,,,,,,,,,,
2175,MO,Missouri,06,n/a,,,,,Party Votes:,R,96469,,,,,,,,,,,,,,,,,,
2176,MO,Missouri,06,H8MO06092,,Henry,Martin,"Martin, Henry",,D,13488,46.1791290057519%,,,72253,27.4839097424037%,,,,,W,,,,,,,,
2177,MO,Missouri,06,H0MO06206,,Charles,West,"West, Charles",,D,9761,33.4189263215557%,,,,,,,,,,,,,,,,,
2178,MO,Missouri,06,H2MO06244,,Michael ,Howard,"Howard, Michael ",,D,5959,20.4019446726924%,,,,,,,,,,,,,,,,,
2179,MO,Missouri,06,n/a,,,,,Party Votes:,D,29208,,,,,,,,,,,,,,,,,,
2180,MO,Missouri,06,H2MO06269,,Edward A. (Andy),Maidment,"Maidment, Edward A. (Andy)",,LIB,350,100%,,,5774,2.19633918110859%,,,,,W,,,,,,,,
2181,MO,Missouri,06,n/a,,,,,Party Votes:,LIB,350,,,,,,,,,,,,,,,,,,
2182,MO,Missouri,06,n/a,,,,,District Votes:,,126027,,,,262892,,,,,,,,,,,,,,
2183,MO,Missouri,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,,,,,,,,
2184,MO,Missouri,07,H2MO07143,,Eric ,Burlison,"Burlison, Eric ",,R,39443,38.1733542380427%,,,178592,70.8847495703461%,,,,,W,W,,,,,,,
2185,MO,Missouri,07,H2MO07168,,Jay,Wasson,"Wasson, Jay",,R,23253,22.5045003193775%,,,,,,,,,,,,,,,,,
2186,MO,Missouri,07,H2MO07184,,Alex ,Bryant,"Bryant, Alex ",,R,18522,17.925788281749%,,,,,,,,,,,,,,,,,
2187,MO,Missouri,07,H2MO07135,,Mike ,Moon,"Moon, Mike ",,R,8957,8.66867971275381%,,,,,,,,,,,,,,,,,
2188,MO,Missouri,07,H2MO07127,,Sam,Alexander,"Alexander, Sam",,R,5665,5.48264715560459%,,,,,,,,,,,,,,,,,
2189,MO,Missouri,07,H0MO07279,,Audrey,Richards,"Richards, Audrey",,R,3095,2.99537386524205%,,,,,,,,,,,,,,,,,
2190,MO,Missouri,07,H2MO07150,,Paul ,Walker,"Walker, Paul ",,R,3028,2.93053055378124%,,,,,,,,,,,,,,,,,
2191,MO,Missouri,07,H6MO07235,,Camille,Lombardi-Olive,"Lombardi-Olive, Camille",,R,1363,1.31912587344908%,,,,,,,,,,,,,,,,,
2192,MO,Missouri,07,n/a,,,,,Party Votes:,R,103326,,,,,,,,,,,,,,,,,,
2193,MO,Missouri,07,H2MO07200,,Kristen,Radaker-Sheafer,"Radaker-Sheafer, Kristen",,D,13680,63.3245382585752%,,,67485,26.7853953410836%,,,,,W,,,,,,,,
2194,MO,Missouri,07,H2MO07192,,John M. ,Woodman,"Woodman, John M. ",,D,5493,25.427024024441%,,,,,,,,,,,,,,,,,
2195,MO,Missouri,07,H2MO07218,,Bryce F. ,Lockwood,"Lockwood, Bryce F. ",,D,2430,11.2484377169838%,,,,,,,,,,,,,,,,,
2196,MO,Missouri,07,n/a,,,,,Party Votes:,D,21603,,,,,,,,,,,,,,,,,,
2197,MO,Missouri,07,H4MO07107,,Kevin ,Craig,"Craig, Kevin ",,LIB,416,100%,,,5869,2.32945817969652%,,,,,W,,,,,,,,
2198,MO,Missouri,07,n/a,,,,,Party Votes:,LIB,416,,,,,,,,,,,,,,,,,,
2199,MO,Missouri,07,n/a,,Roger A. ,Rekate,"Rekate, Roger A.",,W,,,,,1,0.000396908873691689%,,,,,,,,,,,,,
2200,MO,Missouri,07,n/a,,,,,District Votes:,,125345,,,,251947,,,,,,,,,,,,,,
2201,MO,Missouri,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,,,,,,,,
2202,MO,Missouri,08,H2MO02177,(I),Jason ,Smith,"Smith, Jason ",,R,78342,81.9614161365919%,,,186472,75.9885083233155%,,,,,W,W,,,,,,,
2203,MO,Missouri,08 ,H2MO08109,,Jacob,Turner,"Turner, Jacob",,R,17242,18.0385838634081%,,,,,,,,,,,,,,,,,
2204,MO,Missouri,08 ,n/a,,,,,Party Votes:,R,95584,,,,,,,,,,,,,,,,,,
2205,MO,Missouri,08 ,H2MO08091,,Randi,McCallian,"McCallian, Randi",,D,16691,100%,,,53738,21.8985716905397%,,,,,W,,,,,,,,
2206,MO,Missouri,08 ,n/a,,,,,Party Votes:,D,16691,,,,,,,,,,,,,,,,,,
2207,MO,Missouri,08,H2MO02078,,Jim,Higgins,"Higgins, Jim",,LIB,232,100%,,,5185,2.11291998614479%,,,,,W,,,,,,,,
2208,MO,Missouri,08 ,n/a,,,,,Party Votes:,LIB,232,,,,,,,,,,,,,,,,,,
2209,MO,Missouri,08,n/a,,,,,District Votes:,,112507,,,,245395,,,,,,,,,,,,,,
2210,MO,Missouri,H,n/a,,,,,Total State Votes:,,988879,,,,2060089,,,,,,,,,,,,,,
2211,MT,Montana,,,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
2212,MT,Montana,01,H4MT01041,,Ryan K.,Zinke,"Zinke, Ryan K.",,R,35601,41.7005376407061%,,,123102,49.6459106307469%,,,,,W,W,,,,,,,
2213,MT,Montana,01,H2MT02084,,"Al ""Doc"" ",Olszewski,"Olszewski, Al ""Doc"" ",,R,33927,39.7397303597156%,,,,,,,,,,,,,,,,,
2214,MT,Montana,01,H2MT00112,,Mary,Todd,"Todd, Mary",,R,8915,10.4424115352629%,,,,,,,,,,,,,,,,,
2215,MT,Montana,01,H2MT01110,,Matt,Jette,"Jette, Matt",,R,4973,5.8250266477692%,,,,,,,,,,,,,,,,,
2216,MT,Montana,01,H2MT01136,,Mitch,Heuer,"Heuer, Mitch",,R,1953,2.28760849448889%,,,,,,,,,,,,,,,,,
2217,MT,Montana,01,,,,Scattered,Scattered,,W(R),4,0.00468532205732492%,,,,,,,,,,,,,,,,,
2218,MT,Montana,01,n/a,,,,,Party Votes:,R,85373,,,,,,,,,,,,,,,,,,
2219,MT,Montana,01,H2MT02092,,Monica ,Tranel,"Tranel, Monica ",,D,37138,64.8574073103858%,,,115265,46.4853202129376%,,,,,W,,,,,,,,
2220,MT,Montana,01,H2MT02100,,Cora,Neumann,"Neumann, Cora",,D,15396,26.8874102792477%,,,,,,,,,,,,,,,,,
2221,MT,Montana,01,H0MT00090,,Tom ,Winter,"Winter, Tom ",,D,4723,8.24819685300641%,,,,,,,,,,,,,,,,,
2222,MT,Montana,01,,,,Scattered,Scattered,,W(D),4,0.00698555736015787%,,,,,,,,,,,,,,,,,
2223,MT,Montana,01,n/a,,,,,Party Votes:,D,57261,,,,,,,,,,,,,,,,,,
2224,MT,Montana,01,H2MT01144,,John ,Lamb,"Lamb, John ",,LIB,Unopposed,,,,9593,3.86876915631553%,,,,,W,,,,,,,,
2225,MT,Montana,01,n/a,,,,,District Votes:,,142634,,,,247960,,,,,,,,,,,,,,
2226,MT,Montana,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,,,,,,,
2227,MT,Montana,02,H4MT00050,(I),Matt,Rosendale,"Rosendale, Matt",,R,73453,75.7177169128638%,,,121979,56.5576430876516%,,,,,W,W,,,,,,,
2228,MT,Montana,02,H2MT02175,,Kyle,Austin,"Austin, Kyle",,R,11930,12.2978280365739%,,,,,,,,,,,,,,,,,
2229,MT,Montana,02,H2MT01102,,Charles A.,Walkingchild,"Walkingchild, Charles A.",,R,5909,6.09118741560061%,,,,,,,,,,,,,,,,,
2230,MT,Montana,02,H2MT02142,,James,Boyette,"Boyette, James",,R,5712,5.88811347400757%,,,,,,,,,,,,,,,,,
2231,MT,Montana,02,,,,Scattered,Scattered,,W(R),5,0.00515416095413828%,,,,,,,,,,,,,,,,,
2232,MT,Montana,02,n/a,,,,,Party Votes:,R,97009,,,,,,,,,,,,,,,,,,
2233,MT,Montana,02,H2MT02167 ,,Gary,Buchanan,"Buchanan, Gary",,IND,,,,,47195,21.8827664230869%,,,,,,,,,,,,,
2234,MT,Montana,02,H2MT02134,,Penny ,Ronning,"Ronning, Penny ",,D,21983,58.4592064673971%,,,43480,20.1602433324678%,,,,,W,,,,,,,,
2235,MT,Montana,02,H2MT02159,,Mark,Sweeney,"Sweeney, Mark",,D,8586,22.8326773747474%,,,,,,,,,,,,,,,,,
2236,MT,Montana,02,H2MT02118,,Skylar,Williams,"Williams, Skylar",,D,7029,18.6921604084672%,,,,,,,,,,,,,,,,,
2237,MT,Montana,02,,,,Scattered,Scattered,,W(D),6,0.0159557493883629%,,,,,,,,,,,,,,,,,
2238,MT,Montana,02,n/a,,,,,Party Votes:,D,37604,,,,,,,,,,,,,,,,,,
2239,MT,Montana,02,H0MT00074,,Sam,Rankin,"Rankin, Sam",,LIB,958,46.8688845401174%,,,3018,1.39934715679365%,,,,,W,,,,,,,,
2240,MT,Montana,02,H2MT02191,,Samuel,Thomas,"Thomas, Samuel",,LIB,554,27.1037181996086%,,,,,,,,,,,,,,,,,
2241,MT,Montana,02,H2MT02183,,Roger,Roots,"Roots, Roger",,LIB,526,25.73385518591%,,,,,,,,,,,,,,,,,
2242,MT,Montana,02,,,,Scattered,Scattered,,W(LIB),6,0.293542074363992%,,,,,,,,,,,,,,,,,
2243,MT,Montana,02,n/a,,,,,Party Votes:,LIB,2044,,,,,,,,,,,,,,,,,,
2244,MT,Montana,02,n/a,,,,,District Votes:,,136657,,,,215672,,,,,,,,,,,,,,
2245,MT,Montana,H,n/a,,,,,Total State Votes:,,279291,,,,463632,,,,,,,,,,,,,,
2246,NE,Nebraska,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
2247,NE,Nebraska,01,H2NE01118 ,(I)*,Mike,Flood,"Flood, Mike",,R,61265,73.851513434671%,,,129236,57.9105146416329%,,,,,W,W,"* Mike Flood was elected as the 1st Congressional District Representative in a special general election on June 28, 2022.",,,,,,
2248,NE,Nebraska,01,H4NE01064 ,(I),Jeff,Fortenberry,"Fortenberry, Jeff",,R,9807,11.8217871909544%,,,,,,,,,,,,,,,,,
2249,NE,Nebraska,01,H2NE01159 ,,John Glen,Weaver,"Weaver, John Glen",,R,5470,6.59377749918632%,,,,,,,,,,,,,,,,,
2250,NE,Nebraska,01,H2NE01183,,Thireena Yuki,Connely,"Connely, Thireena Yuki",,R,3353,4.04185300818496%,,,,,,,,,,,,,,,,,
2251,NE,Nebraska,01,H2NE01191,,Curtis D.,Huffman,"Huffman, Curtis D.",,R,3062,3.69106886700339%,,,,,,,,,,,,,,,,,
2252,NE,Nebraska,01,n/a,,,,,Party Votes:,R,82957,,,,,,,,,,,,,,,,,,
2253,NE,Nebraska,01,H2NE01092 ,,Patty Pansing,Brooks,"Brooks, Patty Pansing",,D,31808,86.5476708750544%,,,93929,42.0894853583671%,,,,,W,,,,,,,,
2254,NE,Nebraska,01,H2NE01100 ,,Jazari Kual,Zakaria,"Zakaria, Jazari Kual",,D,4944,13.4523291249456%,,,,,,,,,,,,,,,,,
2255,NE,Nebraska,01,n/a,,,,,Party Votes:,D,36752,,,,,,,,,,,,,,,,,,
2256,NE,Nebraska,01,n/a,,,,,District Votes:,,119709,,,,223165,,,,,,,,,,,,,,
2257,NE,Nebraska,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,,,,,,,
2258,NE,Nebraska,02,H6NE02125 	,(I),Don,Bacon,"Bacon, Don",,R,53824,77.1460104057676%,,,112663,51.3341231147765%,,,,,W,W,,,,,,,
2259,NE,Nebraska,02,H2NE02157 ,,Steve,Kuehl,"Kuehl, Steve",,R,15945,22.8539895942324%,,,,,,,,,,,,,,,,,
2260,NE,Nebraska,02,n/a,,,,,Party Votes:,R,69769,,,,,,,,,,,,,,,,,,
2261,NE,Nebraska,02,H2NE02132 ,,Tony,Vargas,"Vargas, Tony",,D,31930,68.6445232720628%,,,106807,48.6658768852235%,,,,,W,,,,,,,,
2262,NE,Nebraska,02,H2NE02124 ,,Alisha,Shelton,"Shelton, Alisha",,D,14585,31.3554767279372%,,,,,,,,,,,,,,,,,
2263,NE,Nebraska,02,n/a,,,,,Party Votes:,D,46515,,,,,,,,,,,,,,,,,,
2264,NE,Nebraska,02,n/a,,,,,District Votes:,,116284,,,,219470,,,,,,,,,,,,,,
2265,NE,Nebraska,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,,,,,,,
2266,NE,Nebraska,03,H6NE03115,(I),Adrian,Smith,"Smith, Adrian",,R,89453,76.00343257205%,,,172700,78.3035293264174%,,,,,W,W,,,,,,,
2267,NE,Nebraska,03,H2NE03064,,Mike,Calhoun,"Calhoun, Mike",,R,28243,23.99656742795%,,,,,,,,,,,,,,,,,
2268,NE,Nebraska,03,n/a,,,,,Party Votes:,R,117696,,,,,,,,,,,,,,,,,,
2269,NE,Nebraska,03,H0NE03217 ,,David J.,Else,"Else, David J.",,D,8701,52.1986921830944%,,,34836,15.794914577968%,,,,,W,,,,,,,,
2270,NE,Nebraska,03,H2NE03056 ,,Daniel M.,Wik,"Wik, Daniel M.",,D,7968,47.8013078169056%,,,,,,,,,,,,,,,,,
2271,NE,Nebraska,03,n/a,,,,,Party Votes:,D,16669,,,,,,,,,,,,,,,,,,
2272,NE,Nebraska,03,H0NE03225,,"Mark, Jr.",Elworth,"Elworth, Mark, Jr.",,LMN,89,100%,,,13016,5.90155609561464%,,,,,W,,,,,,,,
2273,NE,Nebraska,03,n/a,,,,,Party Votes:,LMN,89,,,,,,,,,,,,,,,,,,
2274,NE,Nebraska,03,n/a,,,,,District Votes:,,134454,,,,220552,,,,,,,,,,,,,,
2275,NE,Nebraska,H,n/a,,,,,Total State Votes:,,370447,,,,663187,,,,,,,,,,,,,,
2276,NV,Nevada,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
2277,NV,Nevada,01,H8NV03036,(I),Dina,Titus,"Titus, Dina",,D,33565,79.8273360762956%,,,115700,51.5714355758216%,,,,,W,W,,,,,,,
2278,NV,Nevada,01,H2NV01264,,Amy ,Vilela,"Vilela, Amy ",,D,8482,20.1726639237044%,,,,,,,,,,,,,,,,,
2279,NV,Nevada,01,n/a,,,,,Party Votes:,D,42047,,,,,,,,,,,,,,,,,,
2280,NV,Nevada,01,H2NV03153,,Mark ,Robertson,"Robertson, Mark ",,R,12375,30.0750966048558%,,,103115,45.9618719049338%,,,,,W,,,,,,,,
2281,NV,Nevada,01,H2NV01298,,David ,Brog,"Brog, David ",,R,7226,17.561426106399%,,,,,,,,,,,,,,,,,
2282,NV,Nevada,01,H2NV04094,,Carolina Andrea ,Serrano,"Serrano, Carolina Andrea ",,R,7050,17.13369139913%,,,,,,,,,,,,,,,,,
2283,NV,Nevada,01,H8NV04059,,Cresent ,Hardy,"Hardy, Cresent ",,R,4790,11.6411889080613%,,,,,,,,,,,,,,,,,
2284,NV,Nevada,01,H2NV01306,,Cynthia Dianne,Steel,"Steel, Cynthia Dianne",,R,4782,11.6217464213673%,,,,,,,,,,,,,,,,,
2285,NV,Nevada,01,H2NV01322,,Jane,Adams,"Adams, Jane",,R,2081,5.05747685128928%,,,,,,,,,,,,,,,,,
2286,NV,Nevada,01,H2NV01280,,Morgun ,Sholty,"Sholty, Morgun ",,R,1998,4.85576105183853%,,,,,,,,,,,,,,,,,
2287,NV,Nevada,01,H2NV01314,,Jessie ,Turner,"Turner, Jessie ",,R,845,2.05361265705884%,,,,,,,,,,,,,,,,,
2288,NV,Nevada,01,n/a,,,,,Party Votes:,R,41147,,,,,,,,,,,,,,,,,,
2289,NV,Nevada,01,H2NV01348,,Ken,Cavanaugh,"Cavanaugh, Ken",,LIB,,,,,5534,2.46669251924457%,,,,,,,,,,,,,
2290,NV,Nevada,01,n/a,,,,,District Votes:,,83194,,,,224349,,,,,,,,,,,,,,
2291,NV,Nevada,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,,,,,,,
2292,NV,Nevada,02,H2NV02395,(I),Mark E. ,Amodei,"Amodei, Mark E. ",,R,49779,54.8770808069673%,,,185467,59.7321077752514%,,,,,W,W,,,,,,,
2293,NV,Nevada,02,H2NV02544,,Danny,Tarkanian,"Tarkanian, Danny",,R,29563,32.5906735751295%,,,,,,,,,,,,,,,,,
2294,NV,Nevada,02,H8NV02137,,Joel,Beck,"Beck, Joel",,R,6744,7.43468195347812%,,,,,,,,,,,,,,,,,
2295,NV,Nevada,02,H2NV02593,,Catherine Marie,Sampson,"Sampson, Catherine Marie",,R,3010,3.31826700474038%,,,,,,,,,,,,,,,,,
2296,NV,Nevada,02,H0NV03207,,Brian ,Nadell,"Nadell, Brian ",,R,1614,1.77929665968471%,,,,,,,,,,,,,,,,,
2297,NV,Nevada,02,n/a,,,,,Party Votes:,R,90710,,,,,,,,,,,,,,,,,,
2298,NV,Nevada,02,H2NV02551,,Elizabeth Mercedes,Krause,"Krause, Elizabeth Mercedes",,D,22072,49.0162114146125%,,,117371,37.8008876063614%,,,,,W,,,,,,,,
2299,NV,Nevada,02,H2NV02502,,Tim ,Hanifan,"Hanifan, Tim ",,D,6440,14.3015767266267%,,,,,,,,,,,,,,,,,
2300,NV,Nevada,02,H2NV02528,,Michael ,Doucette,"Doucette, Michael ",,D,5478,12.1652231845436%,,,,,,,,,,,,,,,,,
2301,NV,Nevada,02,H2NV02585,,Rahul A. ,Joshi,"Joshi, Rahul A. ",,D,3613,8.02353986231401%,,,,,,,,,,,,,,,,,
2302,NV,Nevada,02,H2NV02577,,Brian J.,Hansen,"Hansen, Brian J.",,D,3276,7.27514990006662%,,,,,,,,,,,,,,,,,
2303,NV,Nevada,02,H2NV02536,,Joseph Edward,Afzal,"Afzal, Joseph Edward",,D,3117,6.92205196535643%,,,,,,,,,,,,,,,,,
2304,NV,Nevada,02,H2NV02569,,Gerold Lee,Gorman,"Gorman, Gerold Lee",,D,1034,2.29624694648012%,,,,,,,,,,,,,,,,,
2305,NV,Nevada,02,n/a,,,,,Party Votes:,D,45030,,,,,,,,,,,,,,,,,,
2306,NV,Nevada,02,H0NV02167,,Russell,Best,"Best, Russell",,IAP,,,,,4194,1.35073333805693%,,,,,,,,,,,,,
2307,NV,Nevada,02,H2NV02601,,Darryl,Baber,"Baber, Darryl",,LIB,,,,,3466,1.11627128033031%,,,,,,,,,,,,,
2308,NV,Nevada,02,n/a,,,,,District Votes:,,135740,,,,310498,,,,,,,,,,,,,,
2309,NV,Nevada,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,,,,,,,
2310,NV,Nevada,03,H6NV04020,(I),Susie,Lee,"Lee, Susie",,D,37069,89.6816180384187%,,,131086,51.9833920902252%,,,,,W,W,,,,,,,
2311,NV,Nevada,03,H2NV03211,,"Randell ""Randy""",Hynes,"Hynes, Randell ""Randy""",,D,4265,10.3183819615813%,,,,,,,,,,,,,,,,,
2312,NV,Nevada,03,n/a,,,,,Party Votes:,D,41334,,,,,,,,,,,,,,,,,,
2313,NV,Nevada,03,H2NV03161,,April ,Becker,"Becker, April ",,R,28260,64.859654357256%,,,121083,48.0166079097748%,,,,,W,,,,,,,,
2314,NV,Nevada,03,H2NV03195,,John ,Kovacs,"Kovacs, John ",,R,4857,11.1473227605517%,,,,,,,,,,,,,,,,,
2315,NV,Nevada,03,H2NV03203,,Clark ,Bossert,"Bossert, Clark ",,R,4553,10.4496109797801%,,,,,,,,,,,,,,,,,
2316,NV,Nevada,03,H2NV03187,,Noah V.,Malgeri,"Malgeri, Noah V.",,R,3981,9.13681118174933%,,,,,,,,,,,,,,,,,
2317,NV,Nevada,03,H2NV03245,,Albert M.,Goldberg,"Goldberg, Albert M.",,R,1920,4.40660072066283%,,,,,,,,,,,,,,,,,
2318,NV,Nevada,03,n/a,,,,,Party Votes:,R,43571,,,,,,,,,,,,,,,,,,
2319,NV,Nevada,03,n/a,,,,,District Votes:,,84905,,,,252169,,,,,,,,,,,,,,
2320,NV,Nevada,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,,,,,,,
2321,NV,Nevada,04,H2NV04011,(I),Steven A. ,Horsford,"Horsford, Steven A. ",,D,Unopposed,,,,116617,52.4151972924261%,,,,,W,W,,,,,,,
2322,NV,Nevada,04,H0NV04023,,Sam,Peters,"Peters, Sam",,R,20956,47.6782017154688%,,,105870,47.5848027075739%,,,,,W,,,,,,,,
2323,NV,Nevada,04,H2NV04128,,"Ann ""Annie""",Black,"Black, Ann ""Annie""",,R,18249,41.5193502150024%,,,,,,,,,,,,,,,,,
2324,NV,Nevada,04,H2NV04110,,Chance,Bonaventura,"Bonaventura, Chance",,R,4748,10.8024480695288%,,,,,,,,,,,,,,,,,
2325,NV,Nevada,04,n/a,,,,,Party Votes:,R,43953,,,,,,,,,,,,,,,,,,
2326,NV,Nevada,04,n/a,,,,,District Votes:,,43953,,,,222487,,,,,,,,,,,,,,
2327,NV,Nevada,H,n/a,,,,,Total State Votes:,,347792,,,,1009503,,,,,,,,,,,,,,
2328,NH,New Hampshire,,,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
2329,NH,New Hampshire,01,H8NH01210,(I),Chris,Pappas,"Pappas, Chris",,D,41990,99.1078172205438%,,,167391,54.0037165846136%,,,,,W,W,,,,,,,
2330,NH,New Hampshire,01,n/a,,,Scattered,Scattered,,W(D),152,0.358761329305136%,,,,,,,,,,,,,,,,,
2331,NH,New Hampshire,01,H2NH01270,,Karoline ,Leavitt,"Leavitt, Karoline ",,W(D),72,0.169939577039275%,,,,,,,,,,,,,,,,,
2332,NH,New Hampshire,01,H0NH01282,,Matt,Mowers,"Mowers, Matt",,W(D),72,0.169939577039275%,,,,,,,,,,,,,,,,,
2333,NH,New Hampshire,01,H2NH01288,,Gail Huff ,Brown,"Brown, Gail Huff ",,W(D),42,0.099131419939577%,,,,,,,,,,,,,,,,,
2334,NH,New Hampshire,01,H2NH01262,,Tim,Baxter,"Baxter, Tim",,W(D),19,0.044845166163142%,,,,,,,,,,,,,,,,,
2335,NH,New Hampshire,01,H2NH01304,,Russell ,Prescott,"Prescott, Russell ",,W(D),15,0.0354040785498489%,,,,,,,,,,,,,,,,,
2336,NH,New Hampshire,01,H6NH02154,,Mary,Maxwell,"Maxwell, Mary",,W(D),2,0.00472054380664653%,,,,,,,,,,,,,,,,,
2337,NH,New Hampshire,01,H0NH01258,,Kevin R. ,Rondeau,"Rondeau, Kevin R. ",,W(D),2,0.00472054380664653%,,,,,,,,,,,,,,,,,
